,0
957,CKF_5132_P_w
958,CKF_5132_E
959,CKF_5132_E_w
960,CKF_5132_R
961,CKF_5132_R_w
962,CKF_5132_S
963,CKF_5132_S_w
964,CKF_5133_P
965,CKF_5133_P_w
966,CKF_5133_E
967,CKF_5133_E_w
968,CKF_5133_R
969,CKF_5133_R_w
970,CKF_5133_S
971,CKF_5133_S_w
972,CKF_5211_P
973,CKF_5211_P_w
974,CKF_5211_E
975,CKF_5211_E_w
976,CKF_5211_R
977,CKF_5211_R_w
978,CKF_5211_S
979,CKF_5211_S_w
980,CKF_5212_P
981,CKF_5212_P_w
982,CKF_5212_E
983,CKF_5212_E_w
984,CKF_5212_R
985,CKF_5212_R_w
986,CKF_5212_S
987,CKF_5212_S_w
988,CKF_5213_P
989,CKF_5213_P_w
990,CKF_5213_E
991,CKF_5213_E_w
992,CKF_5213_R
993,CKF_5213_R_w
994,CKF_5213_S
995,CKF_5213_S_w
996,CKF_5221_P
997,CKF_5221_P_w
998,CKF_5221_E
999,CKF_5221_E_w
1000,CKF_5221_R
1001,CKF_5221_R_w
1002,CKF_5221_S
1003,CKF_5221_S_w
1004,CKF_5222_P
1005,CKF_5222_P_w
1006,CKF_5222_E
1007,CKF_5222_E_w
1008,CKF_5222_R
1009,CKF_5222_R_w
1010,CKF_5222_S
1011,CKF_5222_S_w
1012,CKF_5223_P
1013,CKF_5223_P_w
1014,CKF_5223_E
1015,CKF_5223_E_w
1016,CKF_5223_R
1017,CKF_5223_R_w
1018,CKF_5223_S
1019,CKF_5223_S_w
1020,CKF_5231_P
1021,CKF_5231_P_w
1022,CKF_5231_E
1023,CKF_5231_E_w
1024,CKF_5231_R
1025,CKF_5231_R_w
1026,CKF_5231_S
1027,CKF_5231_S_w
1028,CKF_5232_P
1029,CKF_5232_P_w
1030,CKF_5232_E
1031,CKF_5232_E_w
1032,CKF_5232_R
1033,CKF_5232_R_w
1034,CKF_5232_S
1035,CKF_5232_S_w
1036,CKF_5233_P
1037,CKF_5233_P_w
1038,CKF_5233_E
1039,CKF_5233_E_w
1040,CKF_5233_R
1041,CKF_5233_R_w
1042,CKF_5233_S
1043,CKF_5233_S_w
1044,CKF_5311_P
1045,CKF_5311_P_w
1046,CKF_5311_E
1047,CKF_5311_E_w
1048,CKF_5311_R
1049,CKF_5311_R_w
1050,CKF_5311_S
1051,CKF_5311_S_w
1052,CKF_5312_P
1053,CKF_5312_P_w
1054,CKF_5312_E
1055,CKF_5312_E_w
1056,CKF_5312_R
1057,CKF_5312_R_w
1058,CKF_5312_S
1059,CKF_5312_S_w
1060,CKF_5313_P
1061,CKF_5313_P_w
1062,CKF_5313_E
1063,CKF_5313_E_w
1064,CKF_5313_R
1065,CKF_5313_R_w
1066,CKF_5313_S
1067,CKF_5313_S_w
1068,CKF_5321_P
1069,CKF_5321_P_w
1070,CKF_5321_E
1071,CKF_5321_E_w
1072,CKF_5321_R
1073,CKF_5321_R_w
1074,CKF_5321_S
1075,CKF_5321_S_w
1076,CKF_5322_P
1077,CKF_5322_P_w
1078,CKF_5322_E
1079,CKF_5322_E_w
1080,CKF_5322_R
1081,CKF_5322_R_w
1082,CKF_5322_S
1083,CKF_5322_S_w
1084,CKF_5323_P
1085,CKF_5323_P_w
1086,CKF_5323_E
1087,CKF_5323_E_w
1088,CKF_5323_R
1089,CKF_5323_R_w
1090,CKF_5323_S
1091,CKF_5323_S_w
1092,CKF_5331_P
1093,CKF_5331_P_w
1094,CKF_5331_E
1095,CKF_5331_E_w
1096,CKF_5331_R
1097,CKF_5331_R_w
1098,CKF_5331_S
1099,CKF_5331_S_w
1100,CKF_5332_P
1101,CKF_5332_P_w
1102,CKF_5332_E
1103,CKF_5332_E_w
1104,CKF_5332_R
1105,CKF_5332_R_w
1106,CKF_5332_S
1107,CKF_5332_S_w
1108,CKF_5333_P
1109,CKF_5333_P_w
1110,CKF_5333_E
1111,CKF_5333_E_w
1112,CKF_5333_R
1113,CKF_5333_R_w
1114,CKF_5333_S
1115,CKF_5333_S_w
