Unnamed: 0,Pre_GPCC,Pre_GPCP,Pre_Gsmap,Pre_IMERG,Pre_PERSIANN_CDR,ET_FLUXCOM,ET_GLDAS,ET_GLEAM,ET_PT-JPL,GRDC,TWSC_GRACE_CSR_calculate,TWSC_GRACE_GFZ_calculate,TWSC_GRACE_JPL_calculate,TWSC_GRACE_Mascon_JPL_calculate,SM_GLDAS,SWE_GLDAS
200809,66.77481586,74.43211147,62.49259625,73.52568005,75.14961363,61.62864511,48.09298897,45.76425196,38.35101726,12.79833564,-6.553220049345086,1.4918965231914,-0.68264977998777,-5.936197302537579,443.3939033,0.059260023
200810,51.69494529,54.9450422,44.86084718,57.43325998,59.99309222,33.26378068,28.44043767,32.55364441,21.46218402,13.44178439,7.20083191204678,11.396565259638336,6.373779420571523,6.529946501945432,476.8836853,0.083694042
200811,47.85856075,57.73966762,40.09389396,56.1807715,61.73328934,13.48064148,13.20043214,16.96127411,7.135471562,12.19235688,38.68692200381243,28.44875186533433,37.18946267746635,38.81482543767602,496.0322718,1.981754147
200812,71.12515966,94.78226144,59.05187425,92.09188878,97.37746935,7.768039204,11.39204062,14.67337843,2.343137068,20.31095772,45.585018780131435,38.90239339532448,45.6856185740719,44.57321031651597,557.9599796,9.655820925
200901,51.72787168,78.05669294,42.73472291,71.98969645,83.38515412,9.142697815,6.24791782,13.085243,3.229064008,,24.405121527214284,28.0145666910154,18.87705021097402,22.156790427793425,578.2047854,19.25879172
200902,53.23269329,78.95150321,43.08427594,72.33048152,78.03827486,14.31087466,14.09101456,18.55300978,5.259031449,,31.473113156234596,38.930456761338974,35.48894665319126,41.05974755042537,628.7321185,27.77569663
200903,67.45746764,88.69100516,54.63070363,84.0836761,91.30511325,35.0179916,29.90445121,38.7905473,18.92439522,,8.273967341372618,16.0633797065884,13.55735838698564,11.17529027657801,643.567609,19.4937947
200904,26.07984396,29.27781023,20.27020778,29.8390541,31.62212087,73.28609201,73.40400417,65.01519925,49.98697499,,-34.276698646776474,-29.961866967976782,-35.79310018719208,-44.951925592002866,610.5453423,6.794359753
200905,63.56443716,71.11312866,54.41372573,68.68416831,69.96402418,109.3113249,111.1735141,80.30256408,79.64439491,,-38.698315185641945,-44.927930623020416,-42.39683233709526,-50.38955860127747,543.3955211,1.511798412
200906,124.8001107,135.3008161,115.4944746,134.2365224,133.8375553,122.1739641,117.8570866,86.75550813,90.20842405,,-14.875017974540324,-19.408865721080687,-17.86192396065621,-13.722084209013971,512.6649353,0.044055175
200907,81.29308051,87.65708705,76.67376193,87.18893276,84.89523906,134.8625305,133.5891093,94.6226158,106.339448,,-32.30369798550768,-28.466168246192332,-25.46827873358992,-28.590987797526317,499.0114101,0.014439467
200908,65.35380833,68.28128052,58.03487989,69.70620133,66.99809477,106.547876,90.62361631,72.75981884,77.67291196,,-40.84772444630963,-29.989245690748263,-29.549557105558407,-39.931959600872986,445.4117422,0.012653602
200909,37.86133345,38.09633963,33.86210856,40.76746737,40.61592356,63.9860289,49.5714088,46.07645393,41.9252233,,-15.888130495780743,-13.123257312758014,-18.22060476359445,-22.819881389091364,423.5986887,0.015184292
200910,82.88016221,97.35942732,76.80469178,92.28937699,95.41838386,32.37765494,27.32371317,33.01514603,17.83693097,,25.139954478329358,11.169499708758323,17.555962490018317,29.898341567939326,448.0226073,0.915416333
200911,66.43324251,81.20516532,58.31512559,77.88328809,82.11729926,14.255231,11.51052399,19.07786955,6.070989207,,49.058129219012066,33.18388173411091,38.683402569252785,48.15629395887616,513.6433924,1.912246746
200912,83.49509324,113.2109811,69.51842711,108.5330152,118.9602563,7.640293132,7.707128374,15.97438187,2.724778289,,64.58357861769736,65.14432762588794,63.43260370040376,60.99177419325922,564.6496935,10.17052192
